Title,Artist,Cleaned_Lyrics
Pink Skies,Zach Bryan,21 contributorstranslationspolskiespañoldeutschpink skies lyrics the kids are in town for a funeral so pack the car and dry your eyes i know they got plenty of young blood left in em and plenty nights under pink skies you taught em to enjoy so clean the house clear the drawers mop the floors stand tall like no one s ever been here before or at all and don t you mention all the inches that are scraped on the doorframe we all know you tiptoed up to 4 1 back in 08 if you could see em now you d be proud but you d think they s yuppiеs your funeral was beautiful i bet god hеard you comin the kids are in town for a funeral and the grass all smells the same as the day you broke your arm swingin on that kid out on the river you bailed him out never said a thing about jesus or the way he s livin if you could see em now you d be proud but you d think they s yuppies your funeral was beautiful i bet god heard you comin see zach bryan liveget tickets as low as 78you might also like if you could see em now you d be proud but you d think they s yuppies your funeral was beautiful i bet god heard you comin the kids are in town for a funeral so pack the car and dry your eyes i know they got plenty of young blood left in em and plenty nights under pink skies you taught em to enjoy2embed
Houdini,Eminem,410 contributorstranslationsрусскийdeutschnorsk bokmål riksmål españoltürkçepolskiromână한국어houdini lyrics hey em it s paul uh i was listening to the album good fucking luck you re on your own guess who s back back again shady s back tell a friend guess who s back guess who s back guess who s back guess who s back guess who s back guess who s back guess who s back da da da da da da da da da da da da da da da da well look what the stork brung what little baby devil with the forked tongue and it s stickin out yeah like a sore thumb bleah with a forehead that it grew horns from still a white jerk pullin up in a chrysler to the cypher with the vic s percs and a bud light shirt lyrical technician an electrician y all light work and i don t gotta play pretend it s you i make believe and you know i m here to stay cause me if i was to ever take a leave it would be aspirin to break a feve if i was to ask for megan thee stallion if she would collab with me would i really have a shot at a feat ha i don t know but i m glad to be back like you might also like abra abracadabra and for my last trick i m bout to reach in my bag bruh abra abracadabra and for my last trick poof just like that and i m back bruh now back in the days of old me when right around the time i became a dope fiend ate some codeine as a way of coping taste of opiates case of o e turned me into smiley face emoji my shit may not be age appropri ate but i will hit an eight year old in the face with a participation trophy cause i have zero doubts that this whole world s bout to turn into some girl scouts that censorship bureau s out to shut me down so when i started this verse it did start off light hearted at first but it feels like i m targeted mind bogglin how my profit has skyrocketed look what i pocketed yeah the shit is just like y all have been light joggin and i ve been running at full speed and that s why i m ahead like my noggin and i m the fight y all get in when you debate who the best but ops i m white chalkin when i step up to that mic cock it then oh my god it s him not again abra abracadabra and for my last trick i m bout to reach in my bag bruh abra abracadabra and for my last trick poof just like that and i m back bruh sometimes i wonder what the old me d say if what if he could see the way shit is today look at this shit man he d probably say that everything is gay like happy what s my name what s my name so how many little kids still wanna act like me i m a bigger prick than cacti be and that s why these words sting just like you were being attacked by bees in the coupe leaning back my seat bumpin r kelly s favorite group the black guy pee s in my air max 90 s white t s walkin parental advisory my transgender cat s siamese identifies as black but acts chinese like a motherfuckin hacky sack i treat the whole world cause i got it at my feet how can i explain to you that even myself i m a danger too i hop on tracks like a kangaroo and say a few things or two to anger you but fuck that if i think that shit i ma say that shit cancel me what okay that s it go ahead paul quit snake ass prick you male crossdresser fake ass bitch and i ll probably get shit for that watch but you can all suck my dick in fact fuck them fuck dre fuck jimmy fuck me fuck you fuck my own kids they re brats fuck em they can screw off them and you all you too paul got two balls big as rupaul s what you thought you saw ain t what you saw cause you re never gon see me caught sleepin and see the kidnappin never did happen like sherri papini harry houdini i vanish into the thin air as i m leaving like abra abracadabra and for my last trick i m bout to reach in my bag bruh abra abracadabra and for my last trick poof just like that and i m back bruh84embed
Fortnight,Taylor Swift Featuring Post Malone,13 contributorstranslationsenglishfrançaisitalianotürkçeportuguêsالعربيةفارسیсрпскиnorsk bokmål riksmål polskideutschmagyarhebrewslovenščinaไทย phasa thaiмакедонскиtiếng việtromânăchinese traditionalукраїнськаtaylor swift fortnight ft post malone traducción al español lyrics se suponía que me iban a enviar lejos pero se olvidaron de venir a buscarme yo era una alcohólica funcional hasta que nadie notó mi nueva estética todo esto para decir espero que estés bien pero tú eres la razón y aquí nadie tiene la culpa pero qué pasa con tu silenciosa traición y durante una quincena estuvimos corriendo para siempre hasta que a veces preguntas sobre el clima ahora еstás en mi patio trasero nos convertimos еn buenos vecinos tu esposa riega flores la quiero matar todas mis mañanas son lunes atrapados en un febrero interminable tomé el movimiento milagroso con las drogas los efectos fueron temporales y te amo está arruinando mi vida te amo está arruinando mi vida te toqué solo por una quincena te toqué pero te toqué you might also like y durante una quincena estuvimos corriendo para siempre hasta que a veces preguntas sobre el clima ahora estás en mi patio trasero nos convertimos en buenos vecinos tu esposa riega flores la quiero matar y durante una quincena estuvimos juntos corriendo hasta que a veces vienes y tiras de mi suéter ahora estás en el buzón convertido en buenos vecinos mi marido me engaña lo quiero matar te amo está arruinando mi vida te amo está arruinando mi vida te toqué solo por quince días te toqué te toqué te amo está arruinando mi vida te amo está arruinando mi vida te toqué solo por quince días te toqué te toqué pensé en llamarte pero no contestarás otra quincena perdida en américa múdate a florida compra el auto que quieres pero no arrancará hasta que me toques me toques me toques pensé en llamarte pero no contestarás otra quincena perdida en américa múdate a florida compra el auto que deseas pero no arrancará hasta que te toque te toque te toqueembed
Like That,"Future, Metro Boomin & Kendrick Lamar",471 contributorstranslationsportuguêsespañolрусскийtürkçedeutschnorsk bokmål riksmål italianopolskilike that lyrics gotta fire my joint up on this bitch young metro young metro young metro three times yeah stickin to the code all these hoes for the streets i put it in her nose it s gon make her pussy leak pussy niggas told ain t gon wake up out they sleep you can t hear that switch but you can hear them niggas scream all my hoes do shrooms nigga all my hoes do coke twenty carat ring i put my fingers down her throat uh uh uh if i lose a carat she might choke uh uh uh i know she gon swallow she a g o a t uh uh uh freeband nigga bring the racks in got the shooters in the corner like the pack in she think cause she exotic bitch she attractive that s that shit ll get you put up out the section brrt and the motto still the same ball like i won a championship game you know these hoes hungry they gon fuck for a name i put her on the gang she get fucked for a chain got your girl in this bitch she twirlin on the dick i got syrup in this bitch turn up in this bitch and we brought the ercs in this bitch get murked in this bitch all these pointers on me baby you know it s game time bring a friend bitch we fucked em at the same time i m a different nigga no we not the same kind you can have that lil if she ain t mine yeah you might also like young dope dealer sellin dope is you like that if you like that kickin doors kickin in doors is you like that yeah young throwed nigga sellin loads is you like that yeah all 24 you on go is you like that if you like that niggas from the bottom really like that if you like that steppin in balencis if you like that if you like that pop another bottle if you like that if you like that he was once a thug from around the way these niggas talkin out of they necks don t pull no coffin out of your mouth i m way too paranoid for a threat ayy ayy let s get it bro d o t the money power respect the last one is better say it s a lot of goofies with a check i mean ah i hope them sentiments symbolic ah my temperament bipolar i choose violence okay let s get it up it s time for him to prove that he s a problem niggas clickin up but cannot be legit no 40 water tell em ah yeah huh yeah get up with me fuck sneak dissin first person shooter i hope they came with three switches i crash out like fuck rap diss melle mel if i had to got 2teez with me i m snatchin chains and burnin tattoos it s up lost too many soldiers not to play it safe if he walk around with that stick it ain t andré 3k think i won t drop the location i still got ptsd motherfuck the big three nigga it s just big me nigga bum what i m really like that and your best work is a light pack nigga prince outlived mike jack nigga bum fore all your dogs gettin buried that s a k with all these nines he gon see pet sematary yeah nigga bum young dope dealer sellin dope is you like that if you like that yeah yeah kickin doors kickin in doors is you like that how yeah young throwed nigga sellin loads is you like that holy water holy water yeah all 24 you on go is you like that if you like that niggas from the bottom really like that if you like that steppin in balencis if you like that if you like that pop another bottle if you like that if you like that he was once a thug from around the way young dope dealer sellin dope is you like that kickin doors kickin in doors is you like that young throwed nigga sellin loads is you like that all 24 you on go is you like that if you like that niggas from the bottom really like that if you like that steppin in balencis if you like that if you like that pop another bottle if you like that if you like that he was once a thug he was he came in banging dope niggas was young slangin powder walk in the strip club make it rain for three hours locked in and now i got my phantom and my driver perc d out took chances in my hood like nevada surfed out outside white interior lasagna hundred thousands i just cashed out on designer gotta devour nigga i learned that in the jungle once i sell this load that s a million in a week59embed
Cowgirls,Morgan Wallen Featuring ERNEST,12 contributorscowgirls lyrics she ll set the field on fire just cuttin across a pasture she ll have you fallin for it all and then leave right after and she got a cold heart but she got a warm smile cut from the same cloth she kinda buck wild little bit angel whole lotta outlaw she s trouble but i ll tell you right now y all long live cowgirls never gonna settle on down girls leave you in a lonely ghost town world where the sun don t rise rodeo for one night love you like a mustang one hand on thеm giddy up reins hole in your heart with somе good aim on a goodbye ride but it s fine cause it s kinda my thing long live cowgirls yeah long live cowgirls i hate that i love the way them kisses taste like whiskey how they wake up take on off and not even miss me leave this heart broken holdin that smokin gun i guess that s just the way them wild horses run let em run see morgan wallen liveget tickets as low as 64you might also like long live cowgirls never gonna settle on down girls leave you in a lonely ghost town world where the sun don t rise rodeo for one night love you like a mustang one hand on them giddy up reins hole in your heart with some good aim on a goodbye ride but it s fine cause it s kinda my thing long live cowgirls yeah long live cowgirls come on cowgirls don t you wanna take me away lay me on down girl with the wild kind of lovin you make for god s sake long live cowgirls never gonna settle on down girls leave you in a lonely ghost town world where the sun don t rise rodeo for one night love you like a mustang one hand on them giddy up reins hole in your heart with some good aim on a goodbye ride but it s fine cause it s kinda my thing long live cowgirls yeah long live cowgirls long live cowgirls yeah long live cowgirlsembed
"Good Luck, Babe!",Chappell Roan,76 contributorstranslationsbahasa indonesiaportuguêsdeutschespañolfrançaistürkçeitalianogood luck babe lyrics it s fine it s cool you can say that we are nothing but you know the truth and guess i m the fool with her arms out like an angel through the car sunroof i don t wanna call it off but you don t wanna call it love you only wanna be the one that i call baby you can kiss a hundred boys in bars shoot another shot try to stop the feeling you can say it s just the way you are make a new excuse another stupid reason good luck babe well good luck well good luck babe well good luck you d have to stop the world just to stop the feeling good luck babe well good luck well good luck babe well good luck you d have to stop the world just to stop the feeling i m cliché who cares it s a sexually explicit kind of love affair and i cry it s not fair i just need a little lovin i just need a little air see chappell roan liveget tickets as low as 352you might also like think i m gonna call it off even if you call it love i just wanna love someone who calls me baby you can kiss a hundred boys in bars shoot another shot try to stop the feeling you can say it s just the way you are make a new excuse another stupid reason good luck babe well good luck well good luck babe well good luck you d have to stop the world just to stop the feeling good luck babe well good luck well good luck babe well good luck you d have to stop the world just to stop the feeling when you wake up next to him in the middle of the night with your head in your hands you re nothing more than his wife and when you think about me all of those years ago you re standing face to face with i told you so you know i hate to say it i told you so you know i hate to say but i told you so you can kiss a hundred boys in bars shoot another shot try to stop the feeling well i told you so you can say it s just the way you are make a new excuse another stupid reason good luck babe well good luck well good luck babe well good luck you d have to stop the world just to stop the feeling good luck babe well good luck well good luck babe well good luck you d have to stop the world just to stop the feeling you d have to stop the world just to stop the feeling you d have to stop the world just to stop the feeling you d have to stop the world just to stop the feeling7embed
Saturn,SZA,98 contributorstranslationsdeutschfrançais한국어tagalog ᜆᜄᜎ ᜄ portuguêsespañolbahasa indonesiasaturn lyrics if there s another universe please make some noise noise give me a sign sign this can t be life if there s a point to losing love repeating pain why it s all the same same i hate this place stuck in this paradigm don t believe in paradise this must be what hell is like there s got to be more got to be more sick of this head of mine intrusive thoughts they paralyzе nirvana s not as advertised therе s got to be more been here before ooh ooh ooh life s better on saturn got to break this pattern of floating away ooh ooh ooh find something worth saving it s all for the taking i always say see sza liveget tickets as low as 126you might also like i ll be better on saturn none of this matters dreaming of saturn oh if karma s really real how am i still here just seems so unfair i could be wrong though if there s a point to being good then where s my reward the good die young and poor i gave it all i could stuck in this terradome ooh all i see is terrible ooh making us hysterical ooh there s got to be more got to be more sick of this head of mine ooh intrusive thoughts they paralyze ooh nirvana s not as advertised ooh there s got to be more been here before ooh ooh ooh life s better on saturn got to break this pattern of floating away ooh ooh ooh find something worth saving it s all for the taking i always say i ll be better on saturn none of this matters dreaming of saturn oh ooh ooh ooh ooh ooh ooh 10embed
Lunch,Billie Eilish,130 contributorstranslationsitalianopolskiالعربيةhebrewportuguêstürkçeespañolελληνικάdeutschfrançaisрусскийbahasa indonesiaукраїнськаnorsk bokmål riksmål 한국어lunch lyrics oh mm mm i could eat that girl for lunch yeah she dances on my tongue tastes like she might be the one and i could never get enough i could buy her so much stuff it s a craving not a crush huh call me when you re there said i bought you somethin rare and i left it under claire so now she s comin up the stairs so i m pullin up a chair and i m puttin up my hair baby i think you were made for me somebody write down the recipe been tryin hard not to overeat you re just so sweet i ll run a shower for you like you want clothеs on the counter for you try em on if i m allowеd i ll help you take em off huh see billie eilish liveget tickets as low as 95you might also like i could eat that girl for lunch yeah she dances on my tongue tastes like she might be the one and i could never get enough i could buy her so much stuff it s a craving not a crush huh oh i just wanna get her off oh oh oh oh oh she s takin pictures in the mirror oh my god her skin s so clear tell her bring that over here you need a seat i ll volunteer now she s smilin ear to ear she s the headlights i m the deer i ve said it all before but i ll say it again i m interested in more than just bein your friend i don t wanna break it just want it to bend do you know how to bend i could eat that girl for lunch she dances on my tongue i know it s just a hunch but she might be the one i could eat that girl for lunch yeah she tastes like she might be the one i could i could eat that girl for lunch yeah she yeah she tastes like she might be the one11embed
We Can't Be Friends (Wait For Your Love),Ariana Grande,112 contributorstranslationsالعربيةбългарскиdanskdeutschespañolhebrewitaliano한국어русскийnorsk bokmål riksmål ไทย phasa thai日本語bahasa indonesiaportuguêsmagyarpolski we can t be friends wait for your love lyrics i didn t think you d understand me how could you ever even try i don t wanna tiptoe but i don t wanna hide but i don t wanna feed this monstrous fire just wanna let this story die and i ll be alright we can t be friends but i d like to just pretend you cling to your papers and pens wait until you like me again wait for your love lo love i ll wait for your love me and my truth we sit in silence mm baby girl it s just me and you cause i don t wanna argue but i don t wanna bite my tongue yeah i think i d rather die you got me misunderstood but at least i look this good you might also like we can t be friends but i d like to just pretend you cling to your papers and pens wait until you like me again wait for your love lo love i ll wait for your love i ll wait for your love lo love i ll wait for your love know that you made me i don t like how you paint me yet i m still here hanging not what you made me it s somethin like a daydream but i feel so seen in the night so for now it s only me and maybe that s all i need we can t be friends but i d like to just pretend you cling to your papers and pens wait until you like me again wait for your love lo love i ll wait for your love i ll wait for your love lo love i ll wait for your love i ll wait for your love i ll wait for your love i ll wait for your love i ll wait for your love i ll wait for your love12embed
Austin,Dasha,21 contributorstranslationsnorsk bokmål riksmål españoldeutschaustin boots stop workin lyrics we had a plan move out of this town baby west to the sand it s all we talked about lately i d pack the car bring your guitar and jane for smokin first thing at dawn you d queue the songs and we d get goin but you weren t home waited on the porch for ya sat there alone all throughout the morn til i got a hunch down in my gut and snuck around the back empty cans and i ll be damned your shit was never packed did your boots stop workin did your truck break down truck break down did you burn through money did your ex find out ex find out where there s a will then there s a way and i m damn sure you lost it didn t even say goodbye just wish i knew what caused it was the whiskey flowin were you in a fight in a fight did the nerves come get you what s your alibi alibi i made my way back to la and that s where you ll be forgotten in forty years you ll still be here drunk washed up in austin hell of a bluff you had me believin how many months did you plan on leavin what happened bad habits did you go back go batshit i loved you how tragic oh oh you might also like did your boots stop workin did your truck break down truck break down did you burn through money did your ex find out ex find out where there s a will then there s a way and i m damn sure you lost it didn t even say goodbye just wish i knew what caused it was the whiskey flowin were you in a fight in a fight did the nerves come get you what s your alibi alibi i made my way back to la and that s where you ll be forgotten in forty years you ll still be here drunk washed up in austin did your truck break down did your ex find out embed
Whiskey Whiskey,Moneybagg Yo Featuring Morgan Wallen,17 contributorswhiskey whiskey lyrics another shot she ll love me again run that back turbo haha make it a double whiskey whiskey won t you go away come again some other day cause her memory came out to play and i m tired of it tired of it i don t wanna wonder where she been where she at she was here now she gone again need her back now it s me and all my whiskey friends and i m tired of it hey tired of it yeah speak dark brown skin caught eye contact while walkin in on the walk up perfect timing get beside me now we lockin in linked in she like tell me how you want it on the rocks again what else lil salt around the rim okay filled to the top again let s go fell back now i m back in it del dia shots got me sinning big racks but these jeans skinny plain richard mille square business boss see me in the club two steppin diamonds round my neck square dancing you done made a gangster romantic fiendin for your love i m an addict ayy so addicted ain t nothin we can do about it nah country motherfucker i say what s up she say howdy howdy call you my lil cowgirl how you ride it like a stallion uh uh don t know why i love it can t get tired of it i m on you bad you might also like whiskey whiskey won t you go away come again some other day cause her memory came out to play and i m tired of it tired of it i don t wanna wonder where she been where she at she was here now she gone again need her back now it s me and all my whiskey friends and i m tired of it tired of it put you up and hide you on the shelf i swear i m through with you you so hard to leave alone it s always something new with you ain t no way to get her gone gone gone so i guess i m gonna tie one on she s so cold i had to go and pour you over ice way you got me locked down you d think whiskey was my wife you so good i had to take you home and hit it twice two of you gon keep me up all night whiskey whiskey won t you go away come again some other day cause her memory came out to play and i m tired of it tired of it i don t wanna wonder where she been where she at she was here now she gone again need her back now it s me and all my whiskey friends and i m tired of it tired of it and i m tired of it tired of itembed
